DLC;Errors;Burst;Undetected_Errors
3;13;23;0
3;13;24;0
3;13;25;0
3;13;26;0
3;13;27;0
3;13;28;0
3;13;29;0
3;13;30;0
3;14;14;0
3;14;15;0
3;14;16;0
3;14;17;0
3;14;18;3321
3;14;19;2510
3;14;20;1537
3;14;21;950
3;14;22;830
3;14;23;670
3;14;24;692
3;14;25;590
3;14;26;572
3;14;27;649
3;14;28;608
3;14;29;634
3;14;30;593
3;15;15;0
3;15;16;0
3;15;17;0
3;15;18;0
3;15;19;0
3;15;20;0
3;15;21;0
3;15;22;0
3;15;23;0
3;15;24;0
3;15;25;0
3;15;26;0
3;15;27;0
3;15;28;0
3;15;29;0
3;15;30;0
3;16;16;0
3;16;17;0
3;16;18;0
3;16;19;0
3;16;20;0
3;16;21;492
3;16;22;387
3;16;23;433
3;16;24;426
3;16;25;547
3;16;26;598
3;16;27;598
3;16;28;584
3;16;29;594
3;16;30;704
4;1;2;0
4;1;3;0
4;1;4;0
4;1;5;0
4;1;6;0
4;1;7;0
4;1;8;0
4;1;9;0
4;1;10;0
4;1;11;0
4;1;12;0
4;1;13;0
4;1;14;0
4;1;15;0
4;1;16;0
4;1;17;0
4;1;18;0
4;1;19;0
4;1;20;0
4;1;21;0
4;1;22;0
4;1;23;0
4;1;24;0
4;1;25;0
4;1;26;0
4;1;27;0
4;1;28;0
4;1;29;0
4;1;30;0
4;2;2;0
4;2;3;0
4;2;4;0
4;2;5;0
4;2;6;0
4;2;7;0
4;2;8;0
4;2;9;0
4;2;10;0
4;2;11;0
4;2;12;0
4;2;13;0
4;2;14;0
4;2;15;0
4;2;16;0
4;2;17;0
4;2;18;0
4;2;19;0
4;2;20;0
4;2;21;0
4;2;22;0
4;2;23;0
4;2;24;0
4;2;25;0
4;2;26;0
4;2;27;0
4;2;28;0
4;2;29;0
4;2;30;0
4;3;3;0
4;3;4;0
4;3;5;0
4;3;6;0
4;3;7;0
4;3;8;0
4;3;9;0
4;3;10;0
4;3;11;0
4;3;12;0
4;3;13;0
4;3;14;0
4;3;15;0
4;3;16;0
4;3;17;0
4;3;18;0
4;3;19;0
4;3;20;0
4;3;21;0
4;3;22;0
4;3;23;0
4;3;24;0
4;3;25;0
4;3;26;0
4;3;27;0
4;3;28;0
4;3;29;0
4;3;30;0
4;4;4;0
4;4;5;0
4;4;6;0
4;4;7;0
4;4;8;0
4;4;9;0
4;4;10;0
4;4;11;0
4;4;12;0
4;4;13;0
4;4;14;0
4;4;15;0
4;4;16;0
4;4;17;0
4;4;18;0
4;4;19;0
4;4;20;0
4;4;21;0
4;4;22;0
4;4;23;0
4;4;24;0
4;4;25;0
4;4;26;0
4;4;27;0
4;4;28;0
4;4;29;0
4;4;30;0
4;5;5;0
4;5;6;0
4;5;7;0
4;5;8;0
4;5;9;0
4;5;10;0
4;5;11;0
4;5;12;0
4;5;13;0
4;5;14;0
4;5;15;0
4;5;16;0
4;5;17;0
4;5;18;0
4;5;19;0
4;5;20;0
4;5;21;0
4;5;22;0
4;5;23;0
4;5;24;0
4;5;25;0
4;5;26;0
4;5;27;0
4;5;28;0
4;5;29;0
4;5;30;0
4;6;6;0
4;6;7;0
4;6;8;0
4;6;9;0
4;6;10;0
4;6;11;0
4;6;12;0
4;6;13;0
4;6;14;0
4;6;15;0
4;6;16;0
4;6;17;0
4;6;18;0
4;6;19;0
4;6;20;0
4;6;21;0
4;6;22;0
4;6;23;97
4;6;24;213
4;6;25;296
4;6;26;368
4;6;27;368
4;6;28;444
4;6;29;489
4;6;30;518
4;7;7;0
4;7;8;0
4;7;9;0
4;7;10;0
4;7;11;0
4;7;12;0
4;7;13;0
4;7;14;0
4;7;15;0
4;7;16;0
4;7;17;0
4;7;18;0
4;7;19;0
4;7;20;0
4;7;21;0
4;7;22;0
4;7;23;0
4;7;24;0
4;7;25;0
4;7;26;0
4;7;27;0
4;7;28;0
4;7;29;0
4;7;30;0
4;8;8;0
4;8;9;0
4;8;10;0
4;8;11;0
4;8;12;0
4;8;13;0
4;8;14;0
4;8;15;0
4;8;16;791
4;8;17;816
4;8;18;650
4;8;19;625
4;8;20;728
4;8;21;766
4;8;22;652
4;8;23;661
4;8;24;601
4;8;25;598
4;8;26;637
4;8;27;598
4;8;28;640
4;8;29;629
4;8;30;664
4;9;9;0
4;9;10;0
4;9;11;0
4;9;12;0
4;9;13;0
4;9;14;0
4;9;15;0
4;9;16;0
4;9;17;0
4;9;18;0
4;9;19;0
4;9;20;0
4;9;21;0
4;9;22;0
4;9;23;0
4;9;24;0
4;9;25;0
4;9;26;0
4;9;27;0
4;9;28;0
4;9;29;0
4;9;30;0
4;10;10;0
4;10;11;0
4;10;12;0
4;10;13;0
4;10;14;0
4;10;15;0
4;10;16;0
4;10;17;516
4;10;18;713
4;10;19;783
4;10;20;719
4;10;21;698
4;10;22;780
4;10;23;669
4;10;24;666
4;10;25;643
4;10;26;630
4;10;27;656
4;10;28;602
4;10;29;602
4;10;30;628
4;11;11;0
4;11;12;0
4;11;13;0
4;11;14;0
4;11;15;0
4;11;16;0
4;11;17;0
4;11;18;0
4;11;19;0
4;11;20;0
4;11;21;0
4;11;22;0
4;11;23;0
4;11;24;0
4;11;25;0
4;11;26;0
4;11;27;0
4;11;28;0
4;11;29;0
4;11;30;0
4;12;12;0
4;12;13;0
4;12;14;0
4;12;15;0
4;12;16;0
4;12;17;0
4;12;18;0
4;12;19;0
4;12;20;169
4;12;21;350
4;12;22;480
4;12;23;548
4;12;24;549
4;12;25;545
4;12;26;611
4;12;27;560
4;12;28;612
4;12;29;643
4;12;30;603
4;13;13;0
4;13;14;0
4;13;15;0
